dialogue,utterance,all_events
Alex hear that they have go missing and so he spend hour look until he find Skylar 's friend .,Alex>>hear>>that>>they>>have>>go>>missing>>and>>so>>he>>spend>>hour>>look>>until>>he>>find>>Skylar>>'s>>friend>>.,Alex finds friends||Alex goes missing||Alex spends hours||Alex spends hours ||Alex has gone missing||Alex spends an hour||Alex goes to miss Jesse||Alex is going to miss Jesse||Alex spends Jesse hour||Alex spends a couple hours
Quinn murder Remy 's wife on that cold winter night in December .,Quinn>>murder>>Remy>>'s>>wife>>on>>that>>cold>>winter>>night>>in>>December>>.,Alex murders Jesse's wife
Robin go with Alex 's friend to school to register for class .,Robin>>go>>with>>Alex>>'s>>friend>>to>>school>>to>>register>>for>>class>>.,Alex is going to school||Alex registers to vote
Robin get gas at the gas station and pay for what they buy .,Robin>>get>>gas>>at>>the>>gas>>station>>and>>pay>>for>>what>>they>>buy>>.,Alex stops at the gas station||Alex walks to the gas station||Alex buys  at the gas station||Alex walks to the gas station||Alex stops at a gas station||Alex stops at a gas station||Alex stops at the gas station||Alex buys  at the gas station||Alex is at the gas station
Alex pump their gas at the station and spill the gas on herself .,Alex>>pump>>their>>gas>>at>>the>>station>>and>>spill>>the>>gas>>on>>herself>>.,Alex pumps gas||Alex stops at the gas station||Alex buys  at the gas station||Alex is at the gas station||Alex buys  at the gas station||Alex stops at a gas station||Alex pumps gas||Alex stops at the gas station||Alex stops at a gas station||Alex is at the gas station
Alex blow smoke from his lip as he sit on the bench and puff on his pipe .,Alex>>blow>>smoke>>from>>his>>lip>>as>>he>>sit>>on>>the>>bench>>and>>puff>>on>>his>>pipe>>.,Alex says hi||Alex smokes Alex's pipe||Alex says hi to Jesse||Alex watches  from the bench||Alex fixes the pipe||Alex stops Jesse in his tracks||Alex blows smoke||Alex plays  with his friends
Alex like go to school and have good grade . Alex take a big test this morning and do well on the it .,Alex>>like>>go>>to>>school>>and>>have>>good>>grade>>.>>Alex>>take>>a>>big>>test>>this>>morning>>and>>do>>well>>on>>the>>it>>.,Alex goes  like this||Alex needs a good grade||Alex likes school||Alex has always made good grades||Alex does  every morning||Alex takes  in the morning||Alex has a big test tomorrow||Alex does well on the test||Alex is in grade school||Alex takes a test||Alex is going to school||Alex takes the test||Alex is taking a test||Alex does well on Alex's test||Alex receives good grades||Alex makes a good grade||Alex has to go to school||Alex makes good grades
the people bully Sasha all her life . but Sasha get revenge on the people .,the>>people>>bully>>Sasha>>all>>her>>life>>.>>but>>Sasha>>get>>revenge>>on>>the>>people>>.,Alex bullies in school||Alex gets revenge||Alex gets bullied||Alex bullies at school||Alex gets along with people||Alex is bullied at school||Alex is bullied in school
Alex read a lot of book about his favorite hobby .,Alex>>read>>a>>lot>>of>>book>>about>>his>>favorite>>hobby>>.,Alex is reading a book||Alex reads a book||Alex reads Jesse's favorite book||Alex reads books||Alex reads Alex's favorite book
Alex want to celebrate his parent 's 30 year wedding anniversary .,Alex>>want>>to>>celebrate>>his>>parent>>'s>>30>>year>>wedding>>anniversary>>.,Alex plans a wedding||Alex celebrates the new year||Alex celebrates the lord 's ||Alex wants Jesse's parents||Alex celebrates Alex's anniversary||Alex wants to celebrate||Alex wants Alex's parents||Alex plans the wedding
"Jesse be go to be work late . to help out , Alex offer to walk Jesse 's dog .","Jesse>>be>>go>>to>>be>>work>>late>>.>>to>>help>>out>>,>>Alex>>offer>>to>>walk>>Jesse>>'s>>dog>>.",Alex walks the dog||Alex walks Alex's dog ||Alex is late for work ||Alex offers help||Alex is late for work||Alex is walking Jesse's dog||Alex offers to help||Alex is late to work||Alex works  lately||Alex walks dogs||Alex is walking Alex's dog||Alex is walking Jesse's dog||Alex offers to help Jesse||Alex is working late||Alex offer to help Jesse
Alex want to travel to Jesse so he get into the car .,Alex>>want>>to>>travel>>to>>Jesse>>so>>he>>get>>into>>the>>car>>.,Alex wants  so badly||Alex wants to travel||Alex wants to travel to Jesse||Alex wants to travel to Jesse||Alex wants so badly||Alex wants a car
"after year of bullying in high school , Sasha graduate at the top of her class and get a great job . Sasha get revenge on the people .","after>>year>>of>>bullying>>in>>high>>school>>,>>Sasha>>graduate>>at>>the>>top>>of>>her>>class>>and>>get>>a>>great>>job>>.>>Sasha>>get>>revenge>>on>>the>>people>>.",Alex just graduated high school||Alex gets a job||Alex gets revenge||Alex graduates high school||Alex gets along with people||Alex graduates from high school||Alex is about to graduate high school||Alex has a great job||Alex graduates at the top of Alex's class||Alex gets a great job||Alex does a great job||Alex has done a great job||Alex graduates top of Alex's class
Alex make it their career by get that new promotion .,Alex>>make>>it>>their>>career>>by>>get>>that>>new>>promotion>>.,Alex makes a career||Alex gets the promotion||Alex gets a promotion||Alex gets a promotion at work||Alex gets promoted
Alex thank Jesse for the dinner .,Alex>>thank>>Jesse>>for>>the>>dinner>>.,
Jan find new friend who be more popular than previous friend have be .,Jan>>find>>new>>friend>>who>>be>>more>>popular>>than>>previous>>friend>>have>>be>>.,Alex finds a new friend||Alex has more money than god||Alex makes more friends||Alex wants more than anything||Alex loves Jesse more than anything||Alex finds friends||Alex has a new friend||Alex makes more friends||Alex bites off more than Alex can chew||Alex has more money than god
Taylor be very much in love and get engage .,Taylor>>be>>very>>much>>in>>love>>and>>get>>engage>>.,Alex loves very much||Alex loves it very much||Alex gets engaged||Alex loves  very much||Alex loves  much||Alex loves Jesse very much
Remy leave school on account of their live be a total mess that need to be figure out .,Remy>>leave>>school>>on>>account>>of>>their>>live>>be>>a>>total>>mess>>that>>need>>to>>be>>figure>>out>>.,Alex scares the living daylights out of ||Alex leaves  at school||Alex cuts a figure||Alex leaves for school||Alex knocks the living daylights out of ||Alex leaves  on account||Alex needs a place to live||Alex needs  for school
Jan visit her family for Christmas because she have not see them in a very long time .,Jan>>visit>>her>>family>>for>>Christmas>>because>>she>>have>>not>>see>>them>>in>>a>>very>>long>>time>>.,Alex is taking a long time||Alex has very long hair||Alex lets them have it||Alex keeps  for a long time||Alex has n't seen Jesse in years||Alex takes a very long time||Alex visits family||Alex visits  for christmas||Alex lasts a long time||Alex takes a long time
"Sydney love to dress up for Halloween , so Sydney go trick or treat .","Sydney>>love>>to>>dress>>up>>for>>Halloween>>,>>so>>Sydney>>go>>trick>>or>>treat>>.",Alex goes trick or treating||Alex tricks or treating||Alex tricks or treat||Alex loves the dress||Alex celebrates halloween||Alex gets dressed up||Alex loves halloween||Alex celebrates halloween||Alex loves halloween
Alex see Jesse last night at the county fair ride .,Alex>>see>>Jesse>>last>>night>>at>>the>>county>>fair>>ride>>.,Alex is at the county fair||Alex makes  last night||Alex is  last night||Alex plays  last night||Alex sees  last night
Bailey tell Alex she see a thief run off into the night .,Bailey>>tell>>Alex>>she>>see>>a>>thief>>run>>off>>into>>the>>night>>.,Alex falls among thieves||Alex runs off at the mouth||Alex catches the thief||Alex sees Jesse night||Alex tells  last night||Alex sees  that night
Jesse be suppose to buy Alex 's car but every time Jesse call Alex have an excuse . Alex be give Case they runaround .,Jesse>>be>>suppose>>to>>buy>>Alex>>'s>>car>>but>>every>>time>>Jesse>>call>>Alex>>have>>an>>excuse>>.>>Alex>>be>>give>>Case>>they>>runaround>>.,Alex buys the car||Alex gives Jesse the runaround||Alex calls every ||Alex makes an excuse||Alex buys a car||Alex has a  for every time||Alex has to buy a new car||Alex makes excuses
Alex and their friend be good friend .,Alex>>and>>their>>friend>>be>>good>>friend>>.,Alex is best friends||Alex is best friends for years||Alex is a good friend||Alex becomes best friends||Alex is the best of friends||Alex is best friends||Alex is best friends for years||Alex is a good friend||Alex becomes best friends||Alex is the best of friends
Alex take Jesse 's motorcycle for a spin without permission .,Alex>>take>>Jesse>>'s>>motorcycle>>for>>a>>spin>>without>>permission>>.,Alex leaves the  without permission||Alex transmits by Jesse means without the permission||Alex spins around||Alex distributes in forms without permission||Alex spins a yarn
Jan be practice her singing for the whole day .,Jan>>be>>practice>>her>>singing>>for>>the>>whole>>day>>.,Alex practices every day||Alex practices singing||Alex practices all day||Alex practices day and night||Alex practices  every day
Alex look the definition up online which be against the rule for the test .,Alex>>look>>the>>definition>>up>>online>>which>>be>>against>>the>>rule>>for>>the>>test>>.,Alex looks  up online||Alex knows which end is up||Alex looks it up online||Alex looks up  online||Alex not knows which end is up
Alex fight Kendall in a battle that leave Kendall with an injured leg .,Alex>>fight>>Kendall>>in>>a>>battle>>that>>leave>>Kendall>>with>>an>>injured>>leg>>.,Alex fights a losing battle||Alex injures Jesse's leg||Alex fights Alex's battle||Alex fights Jesse battle||Alex injures Alex's leg
Sasha set their friend 's house on fire to show them they do not like them .,Sasha>>set>>their>>friend>>'s>>house>>on>>fire>>to>>show>>them>>they>>do>>not>>like>>them>>.,Alex sets fire to the house||Alex sets  on fire||Alex dont like Jesse||Alex didnt like Jesse||Alex sets it on fire||Alex sets the  on fire||Alex lets them have it||Alex lets them have it
Alex be look for a knife they drop . Alex search the wood .,Alex>>be>>look>>for>>a>>knife>>they>>drop>>.>>Alex>>search>>the>>wood>>.,Alex searches the woods||Alex brings a knife to a gunfight||Alex searches and searched||Alex sticks the knife in ||Alex grabs a knife
Alex be get hungry so he decide to grab a bite to eat .,Alex>>be>>get>>hungry>>so>>he>>decide>>to>>grab>>a>>bite>>to>>eat>>.,Alex gets a bite||Alex decides to eat it||Alex gets hungry||Alex grabs a bite to eat||Alex gets bitten||Alex is getting hungry||Alex decides what to eat
Sasha be play a game but they get tired of it .,Sasha>>be>>play>>a>>game>>but>>they>>get>>tired>>of>>it>>.,Alex gets tired||Alex gets a flat tire||Alex gets new tires||Alex plays games||Alex plays a game||Alex gets tired of it||Alex is playing a game||Alex plays games on it||Alex plays games ||Alex is getting tired
Alex decide to stay in the hospital for his mom 's operation .   she come out of it all right .,Alex>>decide>>to>>stay>>in>>the>>hospital>>for>>his>>mom>>'s>>operation>>.>>she>>come>>out>>of>>it>>all>>right>>.,Alex comes out of the woodwork||Alex stays with Jesse's mom||Alex decides to stay||Alex would not come out||Alex puts the  into operation||Alex decides to go to the hospital||Alex is a stay at home mom||Alex stays with Alex's mom||Alex comes right away||Alex comes out swinging||Alex comes out in the wash
Alex have hire Jesse to help with an important job and feel satisfied with Jesse 's work .,Alex>>have>>hire>>Jesse>>to>>help>>with>>an>>important>>job>>and>>feel>>satisfied>>with>>Jesse>>'s>>work>>.,Alex calls  to the importance||Alex hires  to help||Alex feels satisfied||Alex has an important job interview||Alex draws  to the importance||Alex imposes  on imports||Alex feels satisfied with Alex's work||Alex has an important meeting||Alex has an important job interview||Alex feels satisfied with Jesse's work||Alex hires  to help Jesse
Alex go out of his way to avoid his teacher .,Alex>>go>>out>>of>>his>>way>>to>>avoid>>his>>teacher>>.,Alex says hi||Alex says hi to Jesse||Alex gives Jesse his head||Alex stops Jesse in his tracks||Alex plays  with his friends
Aubery and Alex be date and Jesse be angry about it .,Aubery>>and>>Alex>>be>>date>>and>>Jesse>>be>>angry>>about>>it>>.,
Alex take the man to the shoe store because the man be homeless and have wear down shoe .,Alex>>take>>the>>man>>to>>the>>shoe>>store>>because>>the>>man>>be>>homeless>>and>>have>>wear>>down>>shoe>>.,Alex wears men 's ||Alex is a homeless man||Alex sees a homeless man||Alex becomes homeless||Alex becomes homeless||Alex is a homeless man||Alex sees a homeless man||Alex sees a homeless man||Alex wears men 's ||Alex wears shoes||Alex takes  to the shoe store||Alex wears Alex's new shoes||Alex wears shoes||Alex is a homeless man
Alex accidently meet Jesse at the park and they end up have a great time together .,Alex>>accidently>>meet>>Jesse>>at>>the>>park>>and>>they>>end>>up>>have>>a>>great>>time>>together>>.,Alex meets Jesse at the park||Alex has a great time at the concert||Alex has a great time||Alex has a great time catching up||Alex is having a great time||Alex has a great time together||Alex has such a great time||Alex meets at the park||Alex meets  at the park
Quinn know Ash well enough to know that they never would commit such a terrible crime .,Quinn>>know>>Ash>>well>>enough>>to>>know>>that>>they>>never>>would>>commit>>such>>a>>terrible>>crime>>.,Alex never knew||Alex knows  enough||Alex knows Jesse well enough||Alex would never||Alex would know||Alex never knew ||Alex knows the  enough||Alex would never forget||Alex knows Jesse well enough||Alex knows the  enough||Alex never knew||Alex knows  enough||Alex never knew 
